   1.6473552641399976-157  0.0000000000000000E+00  1.7548660564851524-127  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  2.0383670035745003-161  0.0000000000000000E+00  3.2805503057982787-190
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.1953430076589809E-91  1.2696278679604649E-90  0.0000000000000000E+00  4.8025384178126762-241  0.0000000000000000E+00  0.0000000000000000E+00
   2.0172543317635205E-96  3.7056957731311489-100  0.0000000000000000E+00  2.6255874697003177-264  0.0000000000000000E+00  0.0000000000000000E+00  1.8509252339254800-117  3.8520337984388432-110  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  5.9683622596738128-137  6.3207465877461969-120  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  8.2378278472422187-124  1.7268817141119929-126
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.6943761583284957-267  6.7061751877064684-136  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  4.2844211407034407-144  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.1689109242921236-152  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  5.0723484626187940-157  0.0000000000000000E+00  4.6594079594129174-127
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  6.8532433337370050-161  0.0000000000000000E+00  1.3674002673112923-189  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  2.4257686767314965E-91  2.5743496381859685E-90  0.0000000000000000E+00  3.0973228725303657-240  0.0000000000000000E+00  0.0000000000000000E+00  4.3986020926361610E-96  8.4347214955138351-100  0.0000000000000000E+00
   2.0151557492234305-263  0.0000000000000000E+00  0.0000000000000000E+00  4.7634439815493808-117  9.4490557317960131-110  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.7302014026535843-136
   1.6608944553325166-119  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  2.1954580516197881-123  4.7527556253620229-126  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  1.3000873033254552-266  1.9825587367422540-135  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.3445662464919941-143  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.9106911457939326-152  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.5563988005808767-156  0.0000000000000000E+00  1.2333956076251920-126  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  2.2955537433674879-160  0.0000000000000000E+00  5.6746134095977591-189  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.9120086258016152E-91  5.2084606628419505E-90
   0.0000000000000000E+00  1.9861474582959294-239  0.0000000000000000E+00  0.0000000000000000E+00  9.5680337538974263E-96  1.9149935089118411E-99  0.0000000000000000E+00  1.5369814497394903-262  0.0000000000000000E+00  0.0000000000000000E+00
   1.2223225652787527-116  2.3114403674828242-109  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.9993434190046660-136  4.3513105983703436-119  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  5.8334370399742936-123  1.3039818866301933-125  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  9.9131989402737854-266  5.8415101823592085-135
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.2047550333352086-143  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  1.3034931641697144-151  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  4.7591274774705624-156  0.0000000000000000E+00  3.2550896634702854-126  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  7.6605736402434248-160  0.0000000000000000E+00
   2.3446305082712414-188  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  9.9248666252450439E-91  1.0514894737029398E-89  0.0000000000000000E+00  1.2663492695260242-238  0.0000000000000000E+00
   0.0000000000000000E+00  2.0762896053337132E-95  4.3367343164055071E-99  0.0000000000000000E+00  1.1649703025318945-261  0.0000000000000000E+00  0.0000000000000000E+00  3.1274261109872198-116  5.6386692576098803-109  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.4398209112965058-135  1.1365969606970343-118  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.5453072842070173-122
   3.5665224935063587-125  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  7.5117666047983270-265  1.7154440809938565-134  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  1.3103047839892101-142  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.3286461708998346-151  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.4502172608806772-155  0.0000000000000000E+00
   8.5647837471828085-126  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  2.5469627370539404-159  0.0000000000000000E+00  9.6453033045128583-188  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  2.0010086835356978E-90  2.1181516692849100E-89  0.0000000000000000E+00  8.0282360091733462-238  0.0000000000000000E+00  0.0000000000000000E+00  4.4948330542640166E-95  9.7962677231363613E-99
   0.0000000000000000E+00  8.7751715888499687-261  0.0000000000000000E+00  0.0000000000000000E+00  7.9786353329826629-116  1.3717465141486596-108  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   4.1332105863979767-135  2.9600919675125392-118  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.0813154889757505-122  9.7245575718172865-125  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  5.6567322466310373-264  5.0209370705769424-134  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.0689444670311428-142
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.4321497838320803-150  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.4039533159407611-155  0.0000000000000000E+00  2.2468118831943662-125  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  8.4367718722223000-159  0.0000000000000000E+00  3.9506315446928261-187  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.0256397546590046E-90
   4.2576372346353063E-89  0.0000000000000000E+00  5.0607974038269679-237  0.0000000000000000E+00  0.0000000000000000E+00  9.7073970636844474E-95  2.2073141626971205E-98  0.0000000000000000E+00  6.5689991092172271-260  0.0000000000000000E+00
