   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  1.0927619963E-12  1.5391938360E+06  5.3226768984E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  8.6726507424E+04  2.1142631928E-12  1.5391938184E+06  5.3226768613E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  1.0897559539E+05  4.1946064742E-12  1.5391937898E+06  5.3226768010E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.3436416023E+05  7.8623756606E-12  1.5391937493E+06  5.3226767154E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.6348336779E+05  1.4161986660E-11  1.5391936923E+06  5.3226765953E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.9650448885E+05  2.4593529905E-11  1.5391936142E+06  5.3226764307E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  2.3366981809E+05  4.1353405881E-11  1.5391935092E+06  5.3226762093E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  2.7517734972E+05  6.7536950933E-11  1.5391933705E+06  5.3226759168E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  3.2123359611E+05  1.0744006122E-10  1.5391931901E+06  5.3226755364E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  3.7204501992E+05  1.6691286668E-10  1.5391929588E+06  5.3226750486E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  4.2780463930E+05  2.5376969023E-10  1.5391926659E+06  5.3226744310E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  4.8870533849E+05  3.7830707828E-10  1.5391922993E+06  5.3226736581E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  5.5493351449E+05  5.5389316192E-10  1.5391918454E+06  5.3226727009E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  6.2667232757E+05  7.9767246267E-10  1.5391912887E+06  5.3226715270E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  7.0409973838E+05  1.1313721421E-09  1.5391906120E+06  5.3226701002E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  7.8738256861E+05  1.5821956342E-09  1.5391897962E+06  5.3226683800E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  8.7670008644E+05  2.1840158044E-09  1.5391888200E+06  5.3226663218E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  9.7221778133E+05  2.9784691882E-09  1.5391876602E+06  5.3226638761E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  1.0741025904E+06  4.0164234340E-09  1.5391862910E+06  5.3226609890E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  1.1825112018E+06  5.3594190905E-09  1.5391846843E+06  5.3226576012E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  1.2976062809E+06  7.0815842791E-09  1.5391828096E+06  5.3226536483E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  1.4195402479E+06  9.2713798424E-09  1.5391806338E+06  5.3226490603E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
